STN-ID,STN-NAME,DISTRICT,LAT,LON,ELEVATION (M),BEGIN-DATE,END-DATE
01CB0446,'RANMUTHUGALA ESTATE','COLOMBO',7.02 N,79.97 E,16.0,1952-07-19,1977-09-30
01CB050A,'BORALESGAMUWA','COLOMBO',6.83 N,79.92 E,11.0,1990-09-01,9999-12-31
01CB068A,"'COLOMBO,RENNAISANCE HOTE'",'COLOMBO',6.92 N,79.83 E,0.0,1993-01-01,9999-12-31
01CB087C,"'PANNIPITIYA,DHARMAPALA V'",'COLOMBO',6.83 N,79.95 E,0.0,1993-06-01,9999-12-31
01CB109A,'ELSTON','COLOMBO',6.93 N,80.17 E,16.0,1984-01-01,9999-12-31
01CB166A,'HOMAGAMA','COLOMBO',6.83 N,80.02 E,11.0,1990-11-01,9999-12-31
01CB255B,'KOTTE','COLOMBO',6.92 N,79.90 E,16.0,1955-01-01,1973-12-31
01CB301A,'MALABE','COLOMBO',6.90 N,79.95 E,20.0,2007-03-01,9999-12-31
01CB311A,"'COLOMBO, MARADANA'",'COLOMBO',11.18 N,*****,0.0,1993-01-01,1994-06-30
01CB369A,'MEEGODA-NAWALAMULLA','COLOMBO',6.87 N,80.03 E,0.0,2002-06-03,9999-12-31
01CB385A,'OLABODUWA GROUP','COLOMBO',6.77 N,80.02 E,16.0,1944-01-01,1954-12-31
01CB385B,'OLABODUWA','COLOMBO',6.77 N,80.02 E,16.0,1954-01-01,1978-12-31
01CB393A,'PADUKKA ESTATE','COLOMBO',6.82 N,80.12 E,0.0,1993-09-01,9999-12-31
01CB393A,'PADUKKA ESTATE','COLOMBO',6.82 N,80.12 E,0.0,1993-09-01,9999-12-31
01CB403A,'PANAGODA','COLOMBO',6.87 N,80.02 E,16.0,1954-07-01,1960-09-30
