                              DODANGASLANDA           
                              LAT:  7.57N    LON: 80.53E    ELEV:  165.0M
                              Precip, daily   
                              Millimeters         
Date,Precip
2008-06-19,.0
2008-06-20,6.1
2008-06-21,.0
2008-06-22,.0
2008-06-23,.0
2008-06-24,7.9
2008-06-25,.6
2008-06-26,.0
2008-06-27,.0
2008-06-28,7.4
2008-06-29,.0
2008-06-30,.0
2008-07-01,-9.9
2008-07-02,-9.9
2008-07-03,-9.9
2008-07-04,-9.9
2008-07-05,-9.9
2008-07-06,-9.9
2008-07-07,-9.9
2008-07-08,-9.9
2008-07-09,-9.9
2008-07-10,-9.9
2008-07-11,-9.9
2008-07-12,-9.9
2008-07-13,-9.9
2008-07-14,-9.9
2008-07-15,-9.9
2008-07-16,-9.9
2008-07-17,-9.9
2008-07-18,-9.9
2008-07-19,-9.9
2008-07-20,-9.9
2008-07-21,-9.9
2008-07-22,-9.9
2008-07-23,-9.9
2008-07-24,-9.9
2008-07-25,-9.9
2008-07-26,-9.9
2008-07-27,-9.9
2008-07-28,-9.9
2008-07-29,-9.9
2008-07-30,-9.9
2008-07-31,-9.9
2008-08-01,-9.9
2008-08-02,-9.9
2008-08-03,-9.9
2008-08-04,-9.9
2008-08-05,-9.9
2008-08-06,-9.9
2008-08-07,-9.9
2008-08-08,-9.9
2008-08-09,-9.9
2008-08-10,-9.9
2008-08-11,-9.9
2008-08-12,-9.9
2008-08-13,-9.9
2008-08-14,-9.9
2008-08-15,-9.9
2008-08-16,-9.9
2008-08-17,-9.9
2008-08-18,-9.9
2008-08-19,-9.9
2008-08-20,-9.9
2008-08-21,-9.9
2008-08-22,-9.9
2008-08-23,-9.9
2008-08-24,-9.9
2008-08-25,-9.9
2008-08-26,-9.9
2008-08-27,-9.9
2008-08-28,-9.9
2008-08-29,-9.9
2008-08-30,-9.9
2008-08-31,-9.9
2008-09-01,-9.9
2008-09-02,-9.9
2008-09-03,-9.9
2008-09-04,-9.9
2008-09-05,-9.9
2008-09-06,-9.9
2008-09-07,-9.9
2008-09-08,-9.9
2008-09-09,-9.9
2008-09-10,-9.9
2008-09-11,-9.9
2008-09-12,-9.9
2008-09-13,-9.9
2008-09-14,-9.9
2008-09-15,-9.9
2008-09-16,-9.9
2008-09-17,-9.9
2008-09-18,-9.9
2008-09-19,-9.9
2008-09-20,-9.9
2008-09-21,-9.9
2008-09-22,-9.9
2008-09-23,-9.9
2008-09-24,-9.9
2008-09-25,-9.9
2008-09-26,-9.9
2008-09-27,-9.9
2008-09-28,-9.9
2008-09-29,-9.9
2008-09-30,-9.9
2008-10-01,.0
2008-10-02,.0
2008-10-03,.0
2008-10-04,59.3
