                              POLONNARUWA             
                              LAT:  7.87N    LON: 81.05E    ELEV:   43.0M
                              Temp, daily max 
                              Degrees C           
Date,Temp.max
2010-12-06,29.3
2010-12-07,29.4
2010-12-08,31.9
2010-12-09,29.2
2010-12-10,31.4
2010-12-11,32.2
2010-12-12,32.3
2010-12-13,32.6
2010-12-14,31.7
2010-12-15,30.5
2010-12-16,31.6
2010-12-17,30.0
2010-12-18,29.6
2010-12-19,30.6
2010-12-20,29.2
2010-12-21,29.9
2010-12-22,25.5
2010-12-23,25.8
2010-12-24,25.9
2010-12-25,25.7
2010-12-26,24.8
2010-12-27,25.9
2010-12-28,26.6
2010-12-29,27.3
2010-12-30,24.2
2010-12-31,25.4
2011-01-01,29.7
2011-01-02,29.8
2011-01-03,27.7
2011-01-04,27.5
2011-01-05,27.4
2011-01-06,27.3
2011-01-07,28.5
2011-01-08,28.1
2011-01-09,22.1
2011-01-10,24.1
2011-01-11,25.9
2011-01-12,25.4
2011-01-13,26.0
2011-01-14,25.8
2011-01-15,30.7
2011-01-16,26.2
2011-01-17,30.6
2011-01-18,30.6
2011-01-19,30.0
2011-01-20,29.8
2011-01-21,30.2
2011-01-22,29.6
2011-01-23,30.2
2011-01-24,30.2
2011-01-25,29.3
2011-01-26,26.7
2011-01-27,27.9
2011-01-28,28.0
2011-01-29,28.5
2011-01-30,28.5
2011-01-31,27.1
2011-02-01,25.0
2011-02-02,24.8
2011-02-03,23.4
2011-02-04,25.3
2011-02-05,27.5
2011-02-06,27.4
2011-02-07,24.8
2011-02-08,26.9
2011-02-09,29.4
2011-02-10,29.1
2011-02-11,29.8
2011-02-12,30.1
2011-02-13,30.6
2011-02-14,31.6
2011-02-15,31.4
2011-02-16,32.8
2011-02-17,32.8
2011-02-18,32.6
2011-02-19,33.1
2011-02-20,32.8
2011-02-21,31.2
2011-02-22,31.8
2011-02-23,31.7
2011-02-24,31.8
2011-02-25,31.5
2011-02-26,31.6
2011-02-27,30.6
2011-02-28,30.9
2011-03-01,27.3
2011-03-02,27.6
2011-03-03,29.1
2011-03-04,31.7
2011-03-05,32.5
2011-03-06,32.5
2011-03-07,32.5
2011-03-08,33.3
2011-03-09,33.8
2011-03-10,33.8
2011-03-11,32.9
2011-03-12,32.7
2011-03-13,32.7
2011-03-14,31.6
2011-03-15,32.8
2011-03-16,32.4
2011-03-17,32.0
2011-03-18,31.7
2011-03-19,33.2
2011-03-20,34.6
2011-03-21,34.3
2011-03-22,34.9
2011-03-23,34.6
2011-03-24,34.6
2011-03-25,35.7
2011-03-26,35.8
2011-03-27,34.1
2011-03-28,35.3
2011-03-29,34.4
2011-03-30,34.6
2011-03-31,35.2
2011-04-01,34.9
2011-04-02,34.7
2011-04-03,34.7
2011-04-04,35.0
2011-04-05,35.4
2011-04-06,34.4
2011-04-07,33.8
2011-04-08,33.9
2011-04-09,34.6
2011-04-10,34.8
2011-04-11,34.4
2011-04-12,33.8
2011-04-13,34.6
2011-04-14,34.7
2011-04-15,34.4
2011-04-16,34.3
2011-04-17,34.5
2011-04-18,34.9
2011-04-19,34.5
2011-04-20,34.7
2011-04-21,33.6
2011-04-22,34.0
2011-04-23,33.4
2011-04-24,33.6
2011-04-25,33.8
2011-04-26,33.3
2011-04-27,33.4
2011-04-28,32.3
2011-04-29,35.1
2011-04-30,34.8
2011-05-01,NA
2011-05-02,NA
2011-05-03,NA
2011-05-04,NA
2011-05-05,NA
2011-05-06,NA
2011-05-07,NA
2011-05-08,NA
2011-05-09,NA
2011-05-10,NA
2011-05-11,NA
2011-05-12,NA
2011-05-13,NA
2011-05-14,NA
2011-05-15,NA
2011-05-16,NA
2011-05-17,NA
2011-05-18,NA
2011-05-19,NA
2011-05-20,NA
2011-05-21,NA
2011-05-22,NA
2011-05-23,NA
2011-05-24,NA
2011-05-25,NA
2011-05-26,NA
2011-05-27,NA
2011-05-28,NA
2011-05-29,NA
2011-05-30,NA
2011-05-31,NA
2011-06-01,NA
2011-06-02,NA
2011-06-03,NA
2011-06-04,NA
2011-06-05,NA
2011-06-06,NA
2011-06-07,NA
2011-06-08,NA
2011-06-09,NA
2011-06-10,NA
2011-06-11,NA
2011-06-12,NA
2011-06-13,NA
2011-06-14,NA
2011-06-15,NA
2011-06-16,NA
2011-06-17,NA
2011-06-18,NA
2011-06-19,NA
2011-06-20,NA
2011-06-21,NA
2011-06-22,NA
2011-06-23,NA
2011-06-24,NA
2011-06-25,NA
2011-06-26,NA
2011-06-27,NA
2011-06-28,NA
2011-06-29,NA
2011-06-30,NA
2011-07-01,NA
2011-07-02,NA
2011-07-03,NA
2011-07-04,NA
2011-07-05,NA
2011-07-06,NA
2011-07-07,NA
2011-07-08,NA
2011-07-09,NA
2011-07-10,NA
2011-07-11,NA
2011-07-12,NA
2011-07-13,NA
2011-07-14,NA
2011-07-15,NA
2011-07-16,NA
2011-07-17,NA
2011-07-18,NA
2011-07-19,NA
2011-07-20,NA
2011-07-21,NA
2011-07-22,NA
2011-07-23,NA
