                              POLONNARUWA             
                              LAT:  7.87N    LON: 81.05E    ELEV:   43.0M
                              Temp, daily min 
                              Degrees C           
Date,Temp.min
2009-10-16,21.7
2009-10-17,22.6
2009-10-18,23.9
2009-10-19,23.4
2009-10-20,22.6
2009-10-21,21.6
2009-10-22,21.5
2009-10-23,20.8
2009-10-24,20.5
2009-10-25,21.8
2009-10-26,22.4
2009-10-27,22.3
2009-10-28,23.4
2009-10-29,23.1
2009-10-30,23.1
2009-10-31,23.5
2009-11-01,22.6
2009-11-02,22.8
2009-11-03,21.1
2009-11-04,22.1
2009-11-05,23.0
2009-11-06,23.9
2009-11-07,22.8
2009-11-08,22.9
2009-11-09,23.0
2009-11-10,23.3
2009-11-11,22.6
2009-11-12,23.7
2009-11-13,24.1
2009-11-14,23.7
2009-11-15,22.6
2009-11-16,20.7
2009-11-17,22.9
2009-11-18,22.4
2009-11-19,21.6
2009-11-20,22.8
2009-11-21,22.7
2009-11-22,22.2
2009-11-23,21.7
2009-11-24,21.9
2009-11-25,22.3
2009-11-26,22.2
2009-11-27,19.3
2009-11-28,22.3
2009-11-29,20.9
2009-11-30,22.7
2009-12-01,22.5
2009-12-02,21.4
2009-12-03,22.4
2009-12-04,22.9
2009-12-05,22.8
2009-12-06,23.1
2009-12-07,22.6
2009-12-08,22.2
2009-12-09,22.5
2009-12-10,22.4
2009-12-11,22.7
2009-12-12,23.4
2009-12-13,23.1
2009-12-14,22.6
2009-12-15,22.9
2009-12-16,21.8
2009-12-17,22.1
2009-12-18,21.5
2009-12-19,23.1
2009-12-20,22.5
2009-12-21,23.4
2009-12-22,22.5
2009-12-23,22.1
2009-12-24,21.8
2009-12-25,22.4
2009-12-26,21.1
2009-12-27,22.7
2009-12-28,21.9
2009-12-29,22.8
2009-12-30,21.7
2009-12-31,20.8
2010-01-01,20.5
2010-01-02,21.7
2010-01-03,22.0
2010-01-04,21.4
2010-01-05,18.2
2010-01-06,18.9
2010-01-07,19.2
2010-01-08,21.9
2010-01-09,21.9
2010-01-10,20.1
2010-01-11,21.7
2010-01-12,21.9
2010-01-13,22.9
2010-01-14,22.2
2010-01-15,21.1
2010-01-16,21.7
2010-01-17,22.0
2010-01-18,21.7
2010-01-19,21.3
2010-01-20,20.0
2010-01-21,19.0
2010-01-22,17.9
2010-01-23,18.4
2010-01-24,18.6
2010-01-25,19.2
2010-01-26,20.5
2010-01-27,22.1
2010-01-28,22.2
2010-01-29,20.5
2010-01-30,22.8
2010-01-31,20.8
2010-02-01,22.5
2010-02-02,22.6
2010-02-03,21.4
2010-02-04,19.9
2010-02-05,20.1
2010-02-06,20.3
2010-02-07,19.9
2010-02-08,18.2
2010-02-09,20.0
2010-02-10,21.6
2010-02-11,23.9
2010-02-12,22.2
2010-02-13,23.4
2010-02-14,20.9
2010-02-15,19.6
2010-02-16,21.8
2010-02-17,23.0
2010-02-18,21.7
2010-02-19,21.8
2010-02-20,21.3
2010-02-21,21.5
2010-02-22,21.7
2010-02-23,21.2
2010-02-24,20.0
2010-02-25,20.2
2010-02-26,22.0
2010-02-27,20.0
2010-02-28,20.3
2010-03-01,20.2
2010-03-02,18.4
2010-03-03,18.7
2010-03-04,19.4
2010-03-05,21.4
2010-03-06,22.1
2010-03-07,21.5
2010-03-08,23.7
2010-03-09,21.9
2010-03-10,20.9
2010-03-11,21.7
2010-03-12,22.6
2010-03-13,23.2
2010-03-14,23.4
2010-03-15,20.9
2010-03-16,22.0
2010-03-17,19.8
2010-03-18,21.6
2010-03-19,22.3
2010-03-20,22.5
2010-03-21,21.8
2010-03-22,22.0
2010-03-23,21.9
2010-03-24,22.4
2010-03-25,22.6
2010-03-26,22.4
2010-03-27,23.4
2010-03-28,22.4
2010-03-29,23.1
2010-03-30,22.3
2010-03-31,22.2
2010-04-01,21.0
2010-04-02,22.4
2010-04-03,20.6
2010-04-04,22.2
2010-04-05,21.4
2010-04-06,21.2
2010-04-07,21.1
2010-04-08,21.7
2010-04-09,20.5
2010-04-10,21.5
2010-04-11,21.7
2010-04-12,21.5
2010-04-13,22.4
2010-04-14,21.4
2010-04-15,19.6
2010-04-16,22.0
2010-04-17,21.5
2010-04-18,22.9
2010-04-19,24.0
2010-04-20,23.2
2010-04-21,21.5
2010-04-22,22.0
2010-04-23,21.7
2010-04-24,21.5
2010-04-25,21.6
2010-04-26,22.8
2010-04-27,22.4
2010-04-28,20.7
2010-04-29,21.4
2010-04-30,20.8
2010-05-01,24.3
2010-05-02,25.1
2010-05-03,24.6
2010-05-04,23.0
2010-05-05,24.6
2010-05-06,24.9
2010-05-07,24.7
2010-05-08,24.2
2010-05-09,23.1
2010-05-10,24.7
2010-05-11,25.2
2010-05-12,24.5
2010-05-13,25.4
2010-05-14,24.8
2010-05-15,23.8
2010-05-16,26.2
2010-05-17,26.0
2010-05-18,23.4
2010-05-19,23.0
2010-05-20,25.0
2010-05-21,24.5
2010-05-22,25.0
2010-05-23,24.8
2010-05-24,26.3
2010-05-25,27.4
2010-05-26,27.5
2010-05-27,27.9
2010-05-28,18.0
2010-05-29,25.2
2010-05-30,26.9
2010-05-31,26.7
2010-06-01,23.3
2010-06-02,26.8
2010-06-03,24.7
2010-06-04,26.3
2010-06-05,27.9
2010-06-06,27.5
2010-06-07,27.2
2010-06-08,25.9
2010-06-09,27.4
2010-06-10,27.0
2010-06-11,26.7
2010-06-12,25.6
2010-06-13,26.3
2010-06-14,26.3
2010-06-15,23.2
2010-06-16,22.9
2010-06-17,25.3
2010-06-18,25.3
2010-06-19,23.5
2010-06-20,23.9
2010-06-21,24.1
2010-06-22,24.0
2010-06-23,27.2
2010-06-24,24.9
2010-06-25,26.7
2010-06-26,26.1
2010-06-27,26.9
2010-06-28,24.6
2010-06-29,27.3
2010-06-30,27.3
2010-07-01,26.1
2010-07-02,26.3
2010-07-03,24.9
2010-07-04,26.1
2010-07-05,26.5
2010-07-06,24.8
2010-07-07,23.2
2010-07-08,23.4
2010-07-09,22.2
2010-07-10,22.5
2010-07-11,22.5
2010-07-12,22.4
2010-07-13,23.4
2010-07-14,25.4
2010-07-15,25.5
2010-07-16,26.0
2010-07-17,25.6
2010-07-18,26.3
2010-07-19,26.9
2010-07-20,27.3
2010-07-21,26.3
2010-07-22,24.9
2010-07-23,23.7
2010-07-24,23.6
2010-07-25,26.2
2010-07-26,25.1
2010-07-27,26.4
2010-07-28,26.8
2010-07-29,26.5
2010-07-30,26.0
2010-07-31,25.3
2010-08-01,25.8
2010-08-02,24.7
2010-08-03,26.6
2010-08-04,26.8
2010-08-05,26.7
2010-08-06,26.9
2010-08-07,25.9
2010-08-08,26.3
2010-08-09,26.5
2010-08-10,27.0
2010-08-11,24.2
2010-08-12,23.4
2010-08-13,24.6
2010-08-14,27.1
2010-08-15,24.6
2010-08-16,26.8
2010-08-17,26.3
2010-08-18,26.2
2010-08-19,23.9
2010-08-20,22.7
2010-08-21,23.3
2010-08-22,21.9
2010-08-23,24.5
2010-08-24,25.0
2010-08-25,25.8
2010-08-26,26.6
2010-08-27,26.0
2010-08-28,24.3
2010-08-29,26.2
2010-08-30,24.3
2010-08-31,25.2
2010-09-01,24.5
2010-09-02,22.7
2010-09-03,22.9
2010-09-04,23.6
2010-09-05,24.2
2010-09-06,24.2
2010-09-07,25.7
2010-09-08,26.6
2010-09-09,25.9
2010-09-10,25.4
2010-09-11,24.7
2010-09-12,23.1
2010-09-13,22.6
2010-09-14,26.0
2010-09-15,26.2
2010-09-16,26.2
2010-09-17,25.7
2010-09-18,25.9
2010-09-19,25.9
2010-09-20,24.1
2010-09-21,23.1
2010-09-22,22.7
2010-09-23,22.0
2010-09-24,22.2
2010-09-25,24.8
2010-09-26,23.0
2010-09-27,24.2
2010-09-28,22.7
2010-09-29,23.8
2010-09-30,23.2
2010-10-01,23.1
2010-10-02,23.1
2010-10-03,22.7
2010-10-04,24.1
2010-10-05,25.6
2010-10-06,25.1
2010-10-07,25.1
2010-10-08,24.9
2010-10-09,25.2
2010-10-10,24.0
2010-10-11,24.5
2010-10-12,25.2
2010-10-13,25.4
2010-10-14,24.0
2010-10-15,24.1
2010-10-16,25.8
2010-10-17,22.3
2010-10-18,23.9
2010-10-19,23.0
2010-10-20,24.6
2010-10-21,23.3
2010-10-22,24.1
2010-10-23,23.2
2010-10-24,21.0
2010-10-25,22.7
2010-10-26,21.9
2010-10-27,23.5
2010-10-28,23.1
2010-10-29,23.6
2010-10-30,22.9
2010-10-31,23.9
2010-11-01,23.4
2010-11-02,23.1
2010-11-03,23.1
2010-11-04,23.4
2010-11-05,23.0
2010-11-06,23.7
2010-11-07,24.4
2010-11-08,22.7
2010-11-09,23.1
2010-11-10,23.3
2010-11-11,23.4
2010-11-12,21.4
2010-11-13,22.6
2010-11-14,21.6
2010-11-15,23.0
2010-11-16,22.7
2010-11-17,22.7
2010-11-18,22.1
2010-11-19,23.8
2010-11-20,23.4
2010-11-21,23.6
2010-11-22,22.4
2010-11-23,22.7
2010-11-24,22.9
2010-11-25,22.5
2010-11-26,23.1
2010-11-27,22.5
2010-11-28,23.6
2010-11-29,23.2
2010-11-30,23.1
2010-12-01,23.0
2010-12-02,23.2
2010-12-03,22.7
2010-12-04,22.7
2010-12-05,23.2
2010-12-06,22.0
2010-12-07,21.1
2010-12-08,22.6
2010-12-09,22.5
2010-12-10,22.4
2010-12-11,21.4
2010-12-12,21.3
2010-12-13,NA
2010-12-14,22.3
2010-12-15,23.2
2010-12-16,21.6
2010-12-17,21.5
2010-12-18,22.0
2010-12-19,20.5
2010-12-20,20.8
2010-12-21,22.6
2010-12-22,22.6
2010-12-23,22.3
2010-12-24,22.1
2010-12-25,21.6
2010-12-26,22.0
2010-12-27,21.6
2010-12-28,21.3
2010-12-29,21.6
2010-12-30,21.8
2010-12-31,21.4
2011-01-01,22.0
2011-01-02,22.0
2011-01-03,22.4
2011-01-04,22.4
2011-01-05,22.3
2011-01-06,22.3
2011-01-07,21.8
2011-01-08,23.0
2011-01-09,19.3
2011-01-10,19.2
2011-01-11,20.8
2011-01-12,21.6
2011-01-13,16.5
2011-01-14,20.3
2011-01-15,22.5
2011-01-16,23.0
2011-01-17,22.5
2011-01-18,22.3
2011-01-19,19.1
2011-01-20,18.8
2011-01-21,18.2
2011-01-22,20.1
2011-01-23,19.0
2011-01-24,20.3
2011-01-25,20.3
2011-01-26,22.7
2011-01-27,22.1
2011-01-28,22.1
2011-01-29,21.8
2011-01-30,21.7
2011-01-31,22.9
2011-02-01,22.5
2011-02-02,21.7
2011-02-03,22.0
2011-02-04,21.7
2011-02-05,22.4
2011-02-06,22.8
2011-02-07,22.5
2011-02-08,21.9
2011-02-09,22.4
2011-02-10,22.1
2011-02-11,21.5
2011-02-12,20.3
2011-02-13,20.2
2011-02-14,20.3
2011-02-15,22.1
2011-02-16,22.0
2011-02-17,22.5
2011-02-18,21.6
2011-02-19,22.4
2011-02-20,22.1
2011-02-21,23.0
2011-02-22,22.7
2011-02-23,21.3
2011-02-24,21.0
2011-02-25,20.5
2011-02-26,20.5
2011-02-27,20.7
2011-02-28,22.6
2011-03-01,21.4
2011-03-02,21.4
2011-03-03,21.7
2011-03-04,21.3
2011-03-05,22.6
2011-03-06,22.2
2011-03-07,21.3
2011-03-08,20.4
2011-03-09,20.6
2011-03-10,18.4
2011-03-11,19.0
2011-03-12,22.2
2011-03-13,22.7
2011-03-14,23.1
2011-03-15,22.4
2011-03-16,23.1
2011-03-17,22.7
2011-03-18,21.1
2011-03-19,22.2
2011-03-20,23.9
2011-03-21,21.7
2011-03-22,21.5
2011-03-23,22.2
2011-03-24,24.0
2011-03-25,21.9
2011-03-26,21.9
2011-03-27,22.7
2011-03-28,22.5
2011-03-29,23.3
2011-03-30,22.1
2011-03-31,21.2
2011-04-01,20.8
2011-04-02,22.6
2011-04-03,22.5
2011-04-04,22.4
2011-04-05,22.4
2011-04-06,20.6
2011-04-07,21.1
2011-04-08,22.2
2011-04-09,24.0
2011-04-10,23.0
2011-04-11,23.5
2011-04-12,23.5
2011-04-13,22.0
2011-04-14,22.5
2011-04-15,21.9
2011-04-16,23.8
2011-04-17,22.9
2011-04-18,23.1
2011-04-19,23.0
2011-04-20,23.0
2011-04-21,23.0
2011-04-22,22.9
2011-04-23,22.4
2011-04-24,22.7
2011-04-25,23.4
2011-04-26,23.3
2011-04-27,24.1
2011-04-28,24.2
2011-04-29,25.6
2011-04-30,24.0
2011-05-01,NA
2011-05-02,NA
2011-05-03,NA
2011-05-04,NA
2011-05-05,NA
2011-05-06,NA
2011-05-07,NA
2011-05-08,NA
2011-05-09,NA
2011-05-10,NA
2011-05-11,NA
2011-05-12,NA
2011-05-13,NA
2011-05-14,NA
2011-05-15,NA
2011-05-16,NA
2011-05-17,NA
2011-05-18,NA
2011-05-19,NA
2011-05-20,NA
2011-05-21,NA
2011-05-22,NA
2011-05-23,NA
2011-05-24,NA
2011-05-25,NA
2011-05-26,NA
2011-05-27,NA
2011-05-28,NA
2011-05-29,NA
2011-05-30,NA
2011-05-31,NA
2011-06-01,NA
2011-06-02,NA
2011-06-03,NA
2011-06-04,NA
2011-06-05,NA
2011-06-06,NA
2011-06-07,NA
2011-06-08,NA
2011-06-09,NA
2011-06-10,NA
2011-06-11,NA
2011-06-12,NA
2011-06-13,NA
2011-06-14,NA
2011-06-15,NA
2011-06-16,NA
2011-06-17,NA
2011-06-18,NA
2011-06-19,NA
2011-06-20,NA
2011-06-21,NA
2011-06-22,NA
2011-06-23,NA
2011-06-24,NA
2011-06-25,NA
2011-06-26,NA
2011-06-27,NA
2011-06-28,NA
2011-06-29,NA
2011-06-30,NA
2011-07-01,NA
2011-07-02,NA
2011-07-03,NA
2011-07-04,NA
2011-07-05,NA
2011-07-06,NA
2011-07-07,NA
2011-07-08,NA
2011-07-09,NA
2011-07-10,NA
2011-07-11,NA
2011-07-12,NA
2011-07-13,NA
2011-07-14,NA
2011-07-15,NA
2011-07-16,NA
2011-07-17,NA
2011-07-18,NA
2011-07-19,NA
2011-07-20,NA
2011-07-21,NA
2011-07-22,NA
2011-07-23,NA
2011-07-24,NA
2011-07-25,NA
2011-07-26,NA
2011-07-27,NA
2011-07-28,NA
2011-07-29,NA
2011-07-30,NA
2011-07-31,NA
2011-08-01,NA
2011-08-02,NA
2011-08-03,NA
2011-08-04,NA
2011-08-05,NA
2011-08-06,NA
2011-08-07,NA
